name,position,goals,shots
Nuri Sahin,MF,2,25
Salomon Kalou,FW,12,50
Emiliano Insúa,DF,0,11
Shinji Kagawa,MF,5,24
Tatsuya Ito,MF,0,12
Theodor Gebre Selassie,DF,3,17
Niklas Moisander,DF,2,18
Robert Bauer,DF,0,2
Oscar Wendt,DF,1,18
Holger Badstuber,DF,2,9
Ömer Toprak,DF,0,13
Guido Burgstaller,FW,11,55
Leonardo Bittencourt,MF,5,32
Mitchell Weiser,DF,1,14
Jhon Córdoba,FW,0,34
Jiri Pavlenka,GK,0,0
Niclas Füllkrug,FW,14,87
Tim Kleindienst,FW,2,44
Marco Terrazzino,MF,0,24
Milos Jojic,MF,2,40
Ralf Fährmann,GK,0,0
Salif Sané,DF,4,28
Sven Ulreich,GK,0,0
Niklas Süle,DF,2,17
Kingsley Coman,FW,3,30
Serge Gnabry,FW,10,50
Corentin Tolisso,MF,6,42
Robert Lewandowski,FW,29,127
Marcel Sabitzer,MF,3,61
Benjamin Pavard,DF,1,11
Marcin Kaminski,DF,0,4
Simon Terodde,FW,7,44
Danny Latza,MF,2,41
Sebastian Rudy,MF,1,19
Oliver Baumann,GK,0,0
Benjamin Hübner,DF,3,22
Pavel Kaderábek,DF,2,23
Kevin Vogt,DF,0,4
Dennis Geiger,MF,2,21
Florian Grillitsch,MF,1,19
Kevin Akpoguma,DF,0,5
Christian Mathenia,GK,0,0
Bastian Oczipka,DF,0,15
Andrej Kramaric,FW,13,82
Mijat Gacinovic,MF,1,37
Rick van Drongelen,DF,0,5
Rani Khedira,MF,1,12
Ihlas Bebou,MF,5,50
Robin Knoche,DF,1,6
Levin Öztunali,FW,0,26
Manuel Gulde,DF,1,9
Dominique Heintz,DF,1,8
Jérôme Gondorf,MF,1,16
Timo Baumgartl,DF,0,7
Maximilian Eggestein,MF,2,44
Lewis Holtby,MF,6,22
Jann-Fiete Arp,FW,2,17
Julian Korb,DF,1,10
Lukas Kübler,DF,0,4
Mike Frantz,MF,0,11
Vincenzo Grifo,MF,0,12
Janik Haberer,MF,3,41
Nicolas Höfler,MF,1,11
Ron-Robert Zieler,GK,0,0
Mark Uth,FW,14,56
Dominik Kohr,MF,1,40
Timo Horn,GK,0,0
Jonas Hector,DF,2,16
Florian Kainz,MF,3,34
Salih Özcan,MF,0,15
Dennis Diekmeier,DF,0,6
Felix Klaus,MF,4,58
Robin Zentner,GK,0,0
Stefan Bell,DF,1,12
Daniel Brosinski,DF,1,32
Alexander Hack,FW,1,13
Nico Elvedi,DF,2,16
Simon Zoller,MF,2,9
Takuma Asano,FW,1,17
Christoph Kramer,MF,3,12
Lars Stindl,FW,6,71
Gerrit Holtmann,DF,2,20
Alexander Esswein,FW,2,9
Kevin-Prince Boateng,MF,6,44
Suat Serdar,MF,2,39
Breel Embolo,FW,3,18
Ishak Belfodil,FW,4,45
Niklas Stark,DF,1,11
Lukas Klünter,DF,1,17
Marvin Plattenhardt,DF,0,18
Vladimir Darida,MF,0,25
Davie Selke,FW,10,46
Patrick Herrmann,MF,0,19
Alexander Schwolow,GK,0,1
Santiago Ascacibar,MF,0,11
Maximilian Philipp,FW,9,44
Daniel Caligiuri,DF,6,35
Koen Casteels,GK,0,0
Jeffrey Gouweleeuw,DF,0,14
André Hahn,FW,3,42
Jan Morávek,MF,0,2
Arne Maier,MF,0,13
William,DF,0,6
Yannick Gerhardt,DF,1,9
Felix Uduokhai,DF,1,4
Josuha Guilavogui,MF,3,22
Daniel Ginczek,FW,7,42
Gian-Luca Waldschmidt,MF,1,31
Alessandro Schöpf,DF,0,9
Jetro Willems,DF,0,21
Sergio Córdova,FW,2,14
Alfred Finnbogason,FW,12,52
Gideon Jung,MF,1,7
Orel Mangala,MF,0,10
Waldemar Anton,DF,1,23
Pascal Stenzel,DF,1,15
Florian Kath,FW,1,16
Gonzalo Castro,MF,0,10
Daniel Didavi,MF,9,55
